mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170508,Kakoli Ghosh Dastidar,Elected,23-05-2019,In Office,Third Term,Barasat,West Bengal,All India Trinamool Congress,Female,Professional Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",64,16,0,1,0.547445255, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170511,Nusrat Jahan Ruhi,Elected,23-05-2019,In Office,First Term,Basirhat,West Bengal,All India Trinamool Congress,Female,Post Graduate,B. Com (Hons.) Educated at Bhawanipur Gujarati Education Society,34,12,0,147,0.229927007, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170518,Abhishek Banerjee,Elected,23-05-2019,In Office,Second Term,Diamond Harbour,West Bengal,All India Trinamool Congress,Male,Post Graduate,Post Graduate,36,2,0,84,0.145985401, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170523,Mimi Chakraborty,Elected,23-05-2019,In Office,First Term,Jadavpur,West Bengal,All India Trinamool Congress,Female,Information Not Available,Information Not Available,35,7,0,161,0.211678832, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170529,Mala Roy,Elected,23-05-2019,In Office,First Term,Kolkata Dakshin,West Bengal,All India Trinamool Congress,Female,Graduate,"B. A. Educated at Calcutta University, West Bengal",66,10,0,205,0.430656934, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170522,Prasun Banerjee,Elected,23-05-2019,In Office,Third Term,Howrah,West Bengal,All India Trinamool Congress,Male,Graduate,B.Sc.,68,21,0,82,0.729927007, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170542,Sajda Ahmed,Elected,23-05-2019,In Office,Second Term,Uluberia,West Bengal,All India Trinamool Congress,Female,Graduate,B.A. (H); University of Calcutta,61,11,0,184,0.583941606, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170540,Kalyan Banerjee,Elected,23-05-2019,In Office,Third Term,Serampore,West Bengal,All India Trinamool Congress,Male,Professional Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",67,50,0,138,0.686131387, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170541,Dibyendu Adhikari,Elected,23-05-2019,In Office,Second Term,Tamluk,West Bengal,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) 1998, Contai Pravat Kumar College, Vidyasagar University",47,1,0,197,0.244525547, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170528,Sisir Kumar Adhikari,Elected,23-05-2019,In Office,Third Term,Kanthi,West Bengal,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,82,4,0,206,0.186131387, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
