Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
3782,Kumaraguru N,KALLAKURICHI,IND,0,8th Pass,"Rs 98,200 ~ 98 Thou+",Rs 0 ~
3783,Kumaraguru R,KALLAKURICHI,AIADMK,6,10th Pass,"Rs 3,85,88,464 ~ 3 Crore+","Rs 30,37,754 ~ 30 Lacs+"
3784,Kumari Anita,MUNGER,RJD,0,Others,"Rs 2,01,08,523 ~ 2 Crore+",Rs 0 ~
3785,Kumari Dileshwari,GODDA,Ambedkarite Party of India,0,12th Pass,,
3786,Kumari Geeta Gautam,SHRAWASTI,Rashtriya Janta Party,0,Graduate,"Rs 37,000 ~ 37 Thou+",Rs 0 ~
3787,Kumawat Ramesh Chandra,CHITTORGARH,IND,0,5th Pass,"Rs 1,04,47,000 ~ 1 Crore+",Rs 0 ~
3788,Kumbhalkar Sanjay Bhaiyy,BHANDARA GONDIYA,BSP,4,12th Pass,"Rs 5,35,65,000 ~ 5 Crore+",Rs 0 ~
3789,Kumdesh Kumar,AMROHA,IND,0,Graduate,"Rs 12,50,000 ~ 12 Lacs+",Rs 0 ~
3790,Kumudini Ravindra Chavan,RAIGAD,Vanchit Bahujan Aaghadi,1,Post Graduate,,
3791,Kunaje Manjunatha Gowda,SHIMOGA,IND,1,12th Pass,"Rs 61,66,740 ~ 61 Lacs+","Rs 25,000 ~ 25 Thou+"
3792,Kunal Kumar,PATALIPUTRA,Hamara Sahara Party,0,Post Graduate,"Rs 16,60,000 ~ 16 Lacs+",Rs 0 ~
3793,Kuncham Venkata Subba Reddy,KADAPA,Rayalaseema Rashtra Samithi,0,5th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
3794,Kundan Singh,BARRACKPUR,IND,2,10th Pass,"Rs 11,59,020 ~ 11 Lacs+",Rs 0 ~
3795,Kundarapu Srikanth,NALGONDA,IND,0,Graduate,,
3796,Kunduru Raghuveer,NALGONDA,INC,2,12th Pass,"Rs 35,57,31,499 ~ 35 Crore+","Rs 17,66,79,000 ~ 17 Crore+"
3797,Kunhikannan Payyoli,VADAKARA,IND,0,5th Pass,"Rs 8,01,778 ~ 8 Lacs+","Rs 20,000 ~ 20 Thou+"
3798,Kunj Bihari Kumar,HAZARIBAGH,Lokhit Adhikar Party,0,12th Pass,"Rs 1,22,10,000 ~ 1 Crore+","Rs 70,000 ~ 70 Thou+"
3799,Kunukuntla Ramudu,NANDYAL,IND,2,12th Pass,"Rs 8,50,000 ~ 8 Lacs+",Rs 0 ~
3800,Kunwar Danish Ali,AMROHA,INC,1,Post Graduate,,
3801,Kunwar Pushpendra Singh Chandel,HAMIRPUR,BJP,0,Post Graduate,"Rs 25,66,60,899 ~ 25 Crore+","Rs 3,44,79,633 ~ 3 Crore+"
3802,Kunwar Sarvesh Kumar,MORADABAD,BJP,2,10th Pass,"Rs 16,14,10,582 ~ 16 Crore+","Rs 6,00,000 ~ 6 Lacs+"
3803,Kura Venkataiah,MAHBUBNAGAR,IND,2,5th Pass,"Rs 46,30,625 ~ 46 Lacs+","Rs 4,80,000 ~ 4 Lacs+"
3804,Kurada Deepakbhai,DADAR & NAGAR HAVELI (ST),Bharat Adivasi Party,0,Graduate Professional,"Rs 25,532 ~ 25 Thou+",Rs 0 ~
3805,Kurban Shahadat Husain,MUMBAI NORTH - CENTRAL,Rashtriya Ulama Council,0,Others,,
3806,Kurma Mahender,PEDDAPALLE (SC),IND,0,12th Pass,"Rs 19,56,030 ~ 19 Lacs+",Rs 0 ~
3807,Kuruba Mallikarjuna.S.,ANANTHAPUR,All India Kisan Janatha party,0,12th Pass,"Rs 5,31,000 ~ 5 Lacs+","Rs 6,14,658 ~ 6 Lacs+"
3808,Kushagra,AMROHA,IND,0,Graduate,"Rs 12,12,000 ~ 12 Lacs+",Rs 0 ~
3809,Kushal Pal Singh Mann,ANANDPUR SAHIB,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),0,Post Graduate,"Rs 30,57,93,432 ~ 30 Crore+","Rs 48,45,097 ~ 48 Lacs+"
3810,Kusheshwar Bhagat,GURGAON,IND,0,8th Pass,,
3811,Kushwaha Rajesh Tantrik,CHHINDWARA,Ahinsa Samaj Party,1,12th Pass,"Rs 3,64,42,000 ~ 3 Crore+",Rs 0 ~
3812,Kuttimani S,CHENNAI SOUTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,5th Pass,"Rs 11,70,599 ~ 11 Lacs+",Rs 0 ~
3813,Kyama Mallesh,BHONGIR,BRS,0,12th Pass,"Rs 1,45,34,92,521 ~ 145 Crore+","Rs 63,46,488 ~ 63 Lacs+"
3814,L Vijayan,ARAKKONAM,AIADMK,0,12th Pass,"Rs 11,91,00,198 ~ 11 Crore+","Rs 9,98,17,008 ~ 9 Crore+"
3815,L. Ranganath Gowda,UDUPI CHIKMAGALUR,Karnataka Rashtra Samithi,0,Post Graduate,,
3816,L.Ashoknath,HYDERABAD,Telangana Prajaa Jeevana Rythu Party,0,12th Pass,"Rs 12,75,000 ~ 12 Lacs+",Rs 0 ~
3817,L.Joseph,TIRUCHIRAPPALLI,Samaniya Makkal Nala Katchi,2,5th Pass,"Rs 15,79,950 ~ 15 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
3818,L.Kasinathan,CHENNAI CENTRAL,IND,0,Graduate Professional,"Rs 1,07,00,000 ~ 1 Crore+",Rs 0 ~
3819,Labenn Ch Marak,TURA (ST),IND,1,Post Graduate,"Rs 63,800 ~ 63 Thou+",Rs 0 ~
3820,Labh Singh Pal,PATIALA,IND,1,8th Pass,,
3821,Lagudu Govinda Rao,VISAKHAPATNAM,IND,0,Doctorate,"Rs 6,08,700 ~ 6 Lacs+",Rs 0 ~
3822,Lakhamoo Ram Tandon,RAIPUR,Rashtriya Jansabha Party,0,Post Graduate,"Rs 49,75,787 ~ 49 Lacs+","Rs 7,50,000 ~ 7 Lacs+"
3823,Lakhan Lal,JHANSI,IND,0,Post Graduate,"Rs 75,000 ~ 75 Thou+",Rs 0 ~
3824,Lakhan Rajaram Kamble,LATUR (SC),Rashtriy Bahujan Party,0,12th Pass,"Rs 35,17,000 ~ 35 Lacs+",Rs 0 ~
3825,Lakhan Sing Tandan,RAJNANDGAON,Rashtriya Jansabha Party,0,8th Pass,,
3826,Lakhan Singh,SOUTH DELHI,Navarang Congress Party,0,10th Pass,"Rs 3,27,000 ~ 3 Lacs+",Rs 0 ~
3827,Lakhansi Odedara,PORBANDAR,Viro Ke Vir Indian Party,2,Graduate,"Rs 53,00,000 ~ 53 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
3828,Lakhbir Singh,KHADOOR SAHIB,IND,0,8th Pass,"Rs 76,500 ~ 76 Thou+","Rs 20,000 ~ 20 Thou+"
3829,Lakhvir Singh Alias Kotla,CHANDIGARH,IND,1,10th Pass,"Rs 1,26,20,848 ~ 1 Crore+","Rs 14,65,000 ~ 14 Lacs+"
3830,Lakhvir Singh Lakha Sidhana,BATHINDA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),15,Post Graduate,,
3831,Lakshman Pathak,BILASPUR,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 2,06,89,684 ~ 2 Crore+",Rs 0 ~
3832,Lakshmanan,PERAMBALUR,IND,0,5th Pass,"Rs 71,16,000 ~ 71 Lacs+","Rs 19,00,000 ~ 19 Lacs+"
3833,Lakshmi Devi,DHANBAD,IND,0,Literate,"Rs 3,45,500 ~ 3 Lacs+",Rs 0 ~
3834,Lakshmi Hembrom,BIRBHUM,Ambedkarite Party of India,0,10th Pass,"Rs 44,250 ~ 44 Thou+",Rs 0 ~
3835,Lakshmi Srihari.J.N.,BANGALORE NORTH,IND,0,10th Pass,,
3836,Lakshmichand,KOTA,IND,0,10th Pass,"Rs 2,77,546 ~ 2 Lacs+",Rs 0 ~
3837,Lakshya Vashist (Shyam),NORTH EAST DELHI,Jindabad Kranti Party,0,Graduate Professional,"Rs 6,35,000 ~ 6 Lacs+",Rs 0 ~
3838,Lal Babu Mahto,SAMASTIPUR (SC),Sathi Aur Aapka Faisala Party,0,10th Pass,"Rs 12,31,500 ~ 12 Lacs+",Rs 0 ~
3839,Lal Badsah Singh,ARRAH,BSP,0,Graduate,"Rs 4,19,33,000 ~ 4 Crore+",Rs 0 ~
3840,Lal Chand Yadav,GURGAON,Bharatheeya Jawan Kisan Party,0,Graduate,,
3841,Lal Ji Verma,MIRZAPUR,IND,0,10th Pass,"Rs 74,97,144 ~ 74 Lacs+",Rs 0 ~
3842,Lal Mani Alias L.M. Tripathi (Bhai Sahab),FAIZABAD,IND,0,Post Graduate,"Rs 1,15,25,168 ~ 1 Crore+","Rs 2,45,805 ~ 2 Lacs+"
3843,Lal Singh,EAST DELHI,Bahujan Dravida Party,0,Post Graduate,"Rs 3,15,000 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+"
3844,Lal Singh,JABALPUR,Rashtriya Samaj Dal (R),0,Literate,"Rs 43,72,746 ~ 43 Lacs+","Rs 80,000 ~ 80 Thou+"
3845,Lal Singh Dewasi,PALI,IND,0,Post Graduate,,
3846,Lala Ram Saroj,PHULPUR,Prabuddhwadi Bahujan Morcha,2,Graduate Professional,"Rs 8,63,132 ~ 8 Lacs+","Rs 4,30,000 ~ 4 Lacs+"
3847,Lalbiakzama,MIZORAM (ST),INC,0,Graduate,"Rs 3,91,66,565 ~ 3 Crore+",Rs 0 ~
3848,Lalhriatrenga Chhangte,MIZORAM (ST),IND,0,Graduate Professional,"Rs 1,98,48,300 ~ 1 Crore+",Rs 0 ~
3849,Lalit (Banti) Sharma,JALGAON,IND,1,10th Pass,"Rs 30,57,563 ~ 30 Lacs+",Rs 0 ~
3850,Lalit Kumar,ROHTAK,IND,1,Graduate Professional,,
3851,Lalit Kumar,MISRIKH (SC),Bhartiya Shakti Chetna Party,0,12th Pass,"Rs 1,33,55,000 ~ 1 Crore+",Rs 0 ~
3852,Lalit Kumar,HARIDWAR,Peoples Party of India (Democratic),0,Post Graduate,"Rs 1,46,546 ~ 1 Lacs+",Rs 0 ~
3853,Lalit Kumar Yadav,DARBHANGA,RJD,1,Post Graduate,"Rs 17,92,48,671 ~ 17 Crore+","Rs 3,79,85,379 ~ 3 Crore+"
3854,Lalit Kumari,KANNAUJ,IND,0,Graduate Professional,"Rs 1,62,85,825 ~ 1 Crore+",Rs 0 ~
3855,Lalit Pegu,KOKRAJHAR (ST),Voters Party International,0,Graduate,,
3856,Lalit Pegu,DARRANG-UDALGURI,Voters Party International,0,Graduate,"Rs 46,02,000 ~ 46 Lacs+",Rs 0 ~
3857,Lalit Vasoya,PORBANDAR,INC,0,12th Pass,"Rs 2,57,27,722 ~ 2 Crore+","Rs 8,68,756 ~ 8 Lacs+"
3858,Lalit Yadav,ALWAR,INC,2,Graduate,"Rs 46,23,645 ~ 46 Lacs+",Rs 0 ~
3859,Lalita Kanwar,RAJNANDGAON,Hamar Raj Party,0,8th Pass,"Rs 20,50,000 ~ 20 Lacs+",Rs 0 ~
3860,Laliteshpati Tripathi,BHADOHI,AITC,3,Graduate,,
3861,Lalji Verma,AMBEDKAR NAGAR,SP,2,Post Graduate,"Rs 11,02,72,584 ~ 11 Crore+","Rs 98,85,979 ~ 98 Lacs+"
3862,Laljit Singh Bhullar,KHADOOR SAHIB,AAP,2,12th Pass,"Rs 9,14,36,489 ~ 9 Crore+","Rs 20,21,136 ~ 20 Lacs+"
3863,Lallan Singh Yadav,BALLIA,BSP,22,12th Pass,"Rs 1,56,31,211 ~ 1 Crore+",Rs 0 ~
3864,Lallu Singh,FAIZABAD,BJP,0,Post Graduate,"Rs 5,40,14,579 ~ 5 Crore+","Rs 1,37,06,659 ~ 1 Crore+"
3865,Lalubhai Babubhai Patel,DAMAN & DIU,BJP,0,8th Pass,,
3866,Lambodar Naik,KEONJHAR (ST),IND,0,12th Pass,"Rs 1,48,000 ~ 1 Lacs+",Rs 0 ~
3867,Lambodar Nial,KALAHANDI,BJD,0,12th Pass,"Rs 1,38,38,756 ~ 1 Crore+","Rs 2,10,331 ~ 2 Lacs+"
3868,Larokar Suresh Pundlik,RAMTEK (SC),IND,0,12th Pass,"Rs 4,60,36,405 ~ 4 Crore+","Rs 16,00,000 ~ 16 Lacs+"
3869,Lasu Hantal,KORAPUT (ST),IND,0,Graduate Professional,"Rs 19,84,590 ~ 19 Lacs+","Rs 83,940 ~ 83 Thou+"
3870,Lata Yadav,BADAUN,IND,0,5th Pass,,
3871,Laten Tshering Sherpa,SIKKIM,IND,0,5th Pass,"Rs 8,52,489 ~ 8 Lacs+",Rs 0 ~
3872,Latif Jabbar Khan,AURANGABAD,IND,0,10th Pass,"Rs 51,000 ~ 51 Thou+",Rs 0 ~
3873,Lavish Dilip Khandelwal,INDORE,IND,0,Graduate,"Rs 65,000 ~ 65 Thou+",Rs 0 ~
3874,Lavkush Patel,BASTI,BSP,1,12th Pass,"Rs 10,18,000 ~ 10 Lacs+","Rs 1,20,00,000 ~ 1 Crore+"
3875,Lavu Srikrishna Devarayalu,NARSARAOPET,TDP,0,Graduate Professional,,
3876,Law Kumar Pandit,CHATRA,Bhagidari Party(P),0,Post Graduate,"Rs 46,50,000 ~ 46 Lacs+","Rs 17,00,000 ~ 17 Lacs+"
3877,Laxaman Prao Yadav,SARAN,IND,0,Literate,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~
3878,Laxman Jadagannavar,BELGAUM,SUCI(C),0,12th Pass,"Rs 1,51,986 ~ 1 Lacs+",Rs 0 ~
3879,Laxman Kumar Bhoi,SAMBALPUR,Paschimanchal Vikas Party,0,Graduate,"Rs 1,16,60,000 ~ 1 Crore+","Rs 35,00,000 ~ 35 Lacs+"
3880,Laxman Nagorao Patil,NANDED,IND,0,8th Pass,,
3881,Laxman Ram Kumbhar,BARAMATI,Dalit Soshit Pichhara Varg Adhikar Dal,0,12th Pass,"Rs 33,48,292 ~ 33 Lacs+","Rs 10,12,529 ~ 10 Lacs+"
3882,Laxman Singh Bais,SIDHI,IND,0,Graduate Professional,"Rs 3,75,350 ~ 3 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
3883,Laxman Yellppa Kurade,MUMBAI NORTH,IND,0,Literate,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
3884,Laxmanbhai Galabhai Bariya,PANCHMAHAL,Aam Janmat Party,0,10th Pass,"Rs 12,32,000 ~ 12 Lacs+",Rs 0 ~
3885,Laxmi Kushwaha,SAGAR,Pichhara Samaj Party United,0,Graduate,,
3886,Laxmi Narayan Katare,KHANDWA,IND,2,10th Pass,"Rs 36,42,500 ~ 36 Lacs+","Rs 16,00,000 ~ 16 Lacs+"
3887,Laxmi Prasad,KHAJURAHO,IND,0,Literate,"Rs 47,95,000 ~ 47 Lacs+",Rs 0 ~
3888,Laxmibai Bajirao More,BEED,IND,0,Literate,"Rs 86,000 ~ 86 Thou+",Rs 0 ~
3889,Laxmikant Pappu Nishad,SANT KABIR NAGAR,SP,3,12th Pass,"Rs 3,37,28,000 ~ 3 Crore+","Rs 35,00,000 ~ 35 Lacs+"
3890,Leela Ram,BARMER,BSP,0,12th Pass,,
3891,Leena Kohli,KARNAL,IND,0,Graduate,"Rs 3,49,29,664 ~ 3 Crore+","Rs 77,71,510 ~ 77 Lacs+"
3892,Lekhasri Samantsinghar,BALASORE,BJD,9,Doctorate,"Rs 3,09,01,519 ~ 3 Crore+","Rs 70,09,154 ~ 70 Lacs+"
3893,Lekhraj Lodhi,SITAPUR,Aazad Samaj Party (Kanshi Ram),0,Graduate,"Rs 10,35,000 ~ 10 Lacs+",Rs 0 ~
3894,Lekhram Dabang,FARIDABAD,IND,0,10th Pass,"Rs 29,23,530 ~ 29 Lacs+",Rs 0 ~
3895,Leki Norbu,ARUNACHAL WEST,IND,0,Illiterate,,
3896,Lenin K,TIRUNELVELI,IND,11,Post Graduate,"Rs 16,24,395 ~ 16 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
3897,Likhama Ram,JODHPUR,IND,0,Literate,"Rs 1,59,00,000 ~ 1 Crore+",Rs 0 ~
3898,Lilawati Rajbhar,GHOSI,Moolniwasi Samaj Party,0,Graduate,"Rs 44,26,350 ~ 44 Lacs+","Rs 16,00,000 ~ 16 Lacs+"
3899,Lili Hansda,RAJMAHAL (ST),Samata Party,0,Post Graduate,"Rs 5,73,037 ~ 5 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
3900,Lilu Ram Asakhera,SIRSA (SC),BSP,0,5th Pass,,
3901,Lingaiah Danda,KHAMMAM,IND,1,Illiterate,"Rs 30,60,000 ~ 30 Lacs+",Rs 0 ~
3902,Lingala Ravi Kumar,KHAMMAM,IND,0,10th Pass,"Rs 7,76,000 ~ 7 Lacs+",Rs 0 ~
3903,Lingam Krishna,NALGONDA,IND,0,12th Pass,"Rs 10,21,000 ~ 10 Lacs+",Rs 0 ~
3904,Lingidi. Venkateswarlu,BHONGIR,Prajavani Party,1,Post Graduate,"Rs 1,87,80,000 ~ 1 Crore+","Rs 18,00,000 ~ 18 Lacs+"
3905,Liyakat,MEERUT,Majloom Samaj Party,0,Graduate,,
3906,Lobin Hembram,RAJMAHAL (ST),IND,2,10th Pass,"Rs 2,35,40,671 ~ 2 Crore+","Rs 25,00,000 ~ 25 Lacs+"
3907,Locket Chatterjee,HOOGHLY,BJP,22,Graduate,"Rs 4,45,89,139 ~ 4 Crore+",Rs 0 ~
3908,Logesh Tamilselvan D,NILGIRIS (SC),AIADMK,0,Post Graduate,"Rs 4,00,77,701 ~ 4 Crore+","Rs 30,89,697 ~ 30 Lacs+"
3909,Lokanath Gowd Suragowini,ANANTHAPUR,IND,0,10th Pass,"Rs 33,35,373 ~ 33 Lacs+","Rs 1,25,944 ~ 1 Lacs+"
3910,Lokesha. S (Aarya Lokesh),MANDYA,Uttama Prajaakeeya Party,0,12th Pass,,
3911,Lokhande Sadashiv Kisan,SHIRDI (SC),Shiv Sena,0,10th Pass,"Rs 21,31,91,187 ~ 21 Crore+","Rs 2,74,30,902 ~ 2 Crore+"
3912,Lovaraju Siddha,ANAKAPALLE,IND,0,Post Graduate,"Rs 19,57,276 ~ 19 Lacs+","Rs 13,15,400 ~ 13 Lacs+"
3913,Lovely Anand,SHEOHAR,JD(U),0,Graduate,"Rs 9,45,53,723 ~ 9 Crore+","Rs 31,69,916 ~ 31 Lacs+"
3914,Lovepreet Sharma,AMRITSAR,Aas Punjab Party,0,12th Pass,"Rs 44,65,000 ~ 44 Lacs+","Rs 1,65,000 ~ 1 Lacs+"
3915,Lukman Khan,NEW DELHI,Log Party,0,5th Pass,,
3916,Lumbaram,JALORE,BJP,0,10th Pass,"Rs 1,95,87,446 ~ 1 Crore+","Rs 6,26,171 ~ 6 Lacs+"
3917,Lunavath Hari Ram,SECUNDERABAD,IND,0,Literate,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~
3918,Lurinjyoti Gogoi,DIBRUGARH,Assam Jatiya Parishad,0,Post Graduate,"Rs 34,31,472 ~ 34 Lacs+",Rs 0 ~
3919,Luxmi Narayan Kora,BURDWAN - DURGAPUR,IND,0,12th Pass,"Rs 22,90,000 ~ 22 Lacs+",Rs 0 ~
3920,M Arul,ARANI,IND,0,Post Graduate,,
3921,M Ashok Kumar,SRIPERUMBUDUR,IND,0,12th Pass,"Rs 6,38,420 ~ 6 Lacs+",Rs 0 ~
3922,M Babu,VELLORE,IND,0,Illiterate,"Rs 17,58,000 ~ 17 Lacs+",Rs 0 ~
3923,M Balu,ARAKKONAM,IND,0,12th Pass,"Rs 4,19,000 ~ 4 Lacs+","Rs 9,000 ~ 9 Thou+"
3924,M C Halli Venu,KOLAR (SC),Viduthalai Chiruthaigal Katchi,0,Graduate,"Rs 9,50,000 ~ 9 Lacs+","Rs 20,000 ~ 20 Thou+"
3925,M Ebinesan,PERAMBALUR,IND,2,8th Pass,,
3926,M Jaisankar,ARANI,IND,0,8th Pass,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
3927,M Kaliaperumal,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 30,98,234 ~ 30 Lacs+",Rs 0 ~
3928,M Kaliyaperumal,TIRUVANNAMALAI,AIADMK,1,10th Pass,"Rs 20,89,95,576 ~ 20 Crore+","Rs 2,76,37,927 ~ 2 Crore+"
3929,M Krishnamurthy,PUDUCHERRY,IND,0,Graduate,"Rs 2,00,91,735 ~ 2 Crore+","Rs 41,00,000 ~ 41 Lacs+"
3930,M M Scaria,KOTTAYAM,IND,0,Graduate,,
3931,M Manikandan,PUDUCHERRY,IND,0,12th Pass,"Rs 8,70,000 ~ 8 Lacs+",Rs 0 ~
3932,M Manmathan,TENKASI (SC),IND,0,8th Pass,"Rs 14,45,000 ~ 14 Lacs+","Rs 45,000 ~ 45 Thou+"
3933,M Mukesh,KOLLAM,CPI(M),1,Graduate,"Rs 14,98,08,376 ~ 14 Crore+",Rs 0 ~
3934,M Munigangappa,KOLAR (SC),IND,0,Graduate Professional,"Rs 5,76,75,500 ~ 5 Crore+","Rs 69,00,000 ~ 69 Lacs+"
3935,M Murugan,PUDUCHERRY,IND,0,Others,,
3936,M Nallasivam,TIRUVANNAMALAI,IND,0,Graduate Professional,"Rs 6,54,923 ~ 6 Lacs+","Rs 1,25,676 ~ 1 Lacs+"
3937,M Prabakaran,ERODE,IND,1,Post Graduate,"Rs 1,18,90,000 ~ 1 Crore+","Rs 27,00,000 ~ 27 Lacs+"
3938,M Premkumar,SRIPERUMBUDUR,IND,0,12th Pass,"Rs 6,17,469 ~ 6 Lacs+",Rs 0 ~
3939,M R Senguttuvan,TIRUPPUR,IND,0,10th Pass,"Rs 5,01,200 ~ 5 Lacs+","Rs 15,000 ~ 15 Thou+"
3940,M S Arumugam,SRIPERUMBUDUR,IND,0,5th Pass,,
3941,M S Badarinarayana,KOLAR (SC),IND,0,Graduate Professional,"Rs 10,24,000 ~ 10 Lacs+",Rs 0 ~
3942,M S Jafarghan,THRISSUR,IND,4,12th Pass,"Rs 26,55,000 ~ 26 Lacs+",Rs 0 ~
3943,M S Subi,THIRUVANANTHAPURAM,IND,0,10th Pass,"Rs 39,63,500 ~ 39 Lacs+","Rs 6,50,000 ~ 6 Lacs+"
3944,M Sabarinathan,ERODE,IND,5,Literate,"Rs 2,30,000 ~ 2 Lacs+","Rs 1,06,000 ~ 1 Lacs+"
3945,M Saravanan,SRIPERUMBUDUR,IND,0,8th Pass,,
3946,M Senthamil Selvan,TIRUVANNAMALAI,IND,0,Graduate,"Rs 5,30,823 ~ 5 Lacs+",Rs 0 ~
3947,M Shanmugam,ERODE,IND,0,5th Pass,"Rs 4,99,608 ~ 4 Lacs+","Rs 3,80,358 ~ 3 Lacs+"
3948,M Thulasiraman,ARAKKONAM,IND,0,8th Pass,"Rs 6,12,000 ~ 6 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
3949,M Umadevi,THIRUPATHI (SC),Janata Congress,0,5th Pass,"Rs 38,77,652 ~ 38 Lacs+",Rs 0 ~
3950,M Umamaheswari,TENKASI (SC),Desiya Makkal Sakthi Katchi,0,Post Graduate,,
3951,M Vijay,ARAKKONAM,IND,0,Post Graduate,"Rs 3,14,000 ~ 3 Lacs+","Rs 1,12,575 ~ 1 Lacs+"
3952,M Vijayan,ARAKKONAM,IND,0,5th Pass,"Rs 1,27,000 ~ 1 Lacs+",Rs 0 ~
3953,M. B. Sidagoni,BAGALKOT,BSP,0,Graduate Professional,"Rs 98,10,812 ~ 98 Lacs+","Rs 48,46,397 ~ 48 Lacs+"
3954,M. Ganesh,BHONGIR,Pyramid Party of India,0,10th Pass,"Rs 16,95,000 ~ 16 Lacs+",Rs 0 ~
3955,M. K. Dayananda,UDUPI CHIKMAGALUR,Proutist Sarva Samaj,0,12th Pass,,
3956,M. K. Raghavan,KOZHIKODE,INC,4,Graduate,"Rs 2,49,36,775 ~ 2 Crore+","Rs 1,26,00,000 ~ 1 Crore+"
3957,M. Kolanji,CHENNAI NORTH,IND,0,Literate,"Rs 15,500 ~ 15 Thou+",Rs 0 ~
3958,M. Lakshmana,MYSORE,INC,4,Graduate Professional,"Rs 3,03,60,160 ~ 3 Crore+","Rs 35,30,980 ~ 35 Lacs+"
3959,M. Mallesh Babu,KOLAR (SC),Janata Dal (Secular),1,Post Graduate,"Rs 23,86,31,536 ~ 23 Crore+","Rs 3,44,92,248 ~ 3 Crore+"
3960,M. Naveen Reddy,MAHBUBNAGAR,IND,0,Graduate,,
3961,M. Ravi Chandar Chowhan,KHAMMAM,IND,0,Post Graduate,"Rs 31,69,000 ~ 31 Lacs+","Rs 1,17,000 ~ 1 Lacs+"
3962,M. S. Praveen,MYSORE,Karnataka Rashtra Samithi,0,Post Graduate,"Rs 2,25,43,082 ~ 2 Crore+","Rs 37,68,992 ~ 37 Lacs+"
3963,M. T. Ramesh,KOZHIKODE,BJP,0,Graduate,"Rs 34,95,842 ~ 34 Lacs+","Rs 2,23,483 ~ 2 Lacs+"
3964,M. Zion Raj,CHENNAI NORTH,IND,0,8th Pass,"Rs 81,000 ~ 81 Thou+",Rs 0 ~
3965,M.Akila,TIRUCHIRAPPALLI,IND,0,12th Pass,,
3966,M.Allimuthu,TIRUCHIRAPPALLI,BSP,0,12th Pass,"Rs 20,18,273 ~ 20 Lacs+",Rs 0 ~
3967,M.G. Srikanth,DAVANAGERE,Navabharath Sena,0,10th Pass,"Rs 33,55,767 ~ 33 Lacs+","Rs 9,25,253 ~ 9 Lacs+"
3968,M.G.M. Khan,VISAKHAPATNAM,IND,0,Graduate Professional,"Rs 1,49,80,904 ~ 1 Crore+",Rs 0 ~
3969,M.Jeevanantham,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 1,55,40,100 ~ 1 Crore+",Rs 0 ~
3970,M.Johnson,HYDERABAD,All India Mahila Empowerment Party,0,8th Pass,,
3971,M.K. Vishnuprasad,CUDDALORE,INC,1,Graduate Professional,"Rs 25,19,78,580 ~ 25 Crore+","Rs 5,11,11,885 ~ 5 Crore+"
3972,M.K.Ahmed,HYDERABAD,IND,2,10th Pass,"Rs 4,66,000 ~ 4 Lacs+",Rs 0 ~
3973,M.K.Seethalakshmi,TIRUPPUR,Naam Tamilar Katchi,2,Post Graduate,"Rs 99,14,670 ~ 99 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
3974,M.Krishna Murthy,CHAMARAJANAGAR (SC),BSP,0,Post Graduate,"Rs 21,71,388 ~ 21 Lacs+","Rs 16,000 ~ 16 Thou+"
3975,M.L Ashwini,KASARAGOD,BJP,0,Others,,
3976,M.L.Ravi,CHENNAI CENTRAL,Desiya Makkal Sakthi Katchi,0,Post Graduate,"Rs 1,31,92,283 ~ 1 Crore+","Rs 58,66,188 ~ 58 Lacs+"
3977,M.Nagarajan,TIRUCHIRAPPALLI,IND,0,12th Pass,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~
3978,M.S. Raksha Ramaiah,CHIKKBALLAPUR,INC,1,Post Graduate,"Rs 1,69,32,78,866 ~ 169 Crore+","Rs 53,52,98,620 ~ 53 Crore+"
3979,M.Surendra,ANANTHAPUR,Pyramid Party of India,0,Graduate,"Rs 3,73,500 ~ 3 Lacs+","Rs 57,000 ~ 57 Thou+"
3980,M.T. Chandranna,DAVANAGERE,IND,0,12th Pass,,
3981,M.V Balakrishnan,KASARAGOD,CPI(M),0,10th Pass,"Rs 2,75,45,987 ~ 2 Crore+",Rs 0 ~
3982,M.V. Jayarajan,KANNUR,CPI(M),9,Graduate Professional,"Rs 1,44,48,542 ~ 1 Crore+",Rs 0 ~
